functional_admit,DASH_functional,DASH_pain,KOS_functional,KOS_pain,LEFS_functional,LEFS_pain,MDQ_functional,MDQ_pain,NDI_functional,NDI_pain
68,-2.4274884334176328,0.7448191544388131,3.133262731300209,-0.5154269275483445,2.1623312561899786,-0.8870220886514273,-1.7775872153268206,1.3085124425308925,-1.5719466301820442,1.787765779751225
69,-2.4631867927325977,0.7557723772982073,3.1793401244075654,-0.5230067353064084,2.194130245251596,-0.9000665311315953,-1.8037282037875093,1.3277552725681112,-1.5950634923906035,1.814056452982861
70,-2.498885152047563,0.7667256001576017,3.2254175175149213,-0.5305865430644723,2.225929234313213,-0.9131109736117632,-1.8298691922481976,1.3469981026053304,-1.618180354599163,1.8403471262144964
71,-2.534583511362528,0.777678823016996,3.2714949106222777,-0.5381663508225362,2.2577282233748304,-0.9261554160919314,-1.8560101807088865,1.3662409326425493,-1.641297216807723,1.866637799446132
72,-2.5702818706774933,0.7886320458763902,3.3175723037296336,-0.5457461585806,2.289527212436448,-0.9391998585720994,-1.882151169169575,1.3854837626797682,-1.664414079016282,1.892928472677768
73,-2.6059802299924586,0.7995852687357846,3.3636496968369896,-0.553325966338664,2.321326201498065,-0.9522443010522674,-1.9082921576302636,1.4047265927169874,-1.6875309412248416,1.9192191459094037
74,-2.6416785893074235,0.8105384915951789,3.409727089944345,-0.5609057740967279,2.353125190559682,-0.9652887435324355,-1.934433146090952,1.4239694227542063,-1.710647803433401,1.945509819141039
75,-2.677376948622389,0.8214917144545733,3.4558044830517014,-0.5684855818547918,2.3849241796213,-0.9783331860126036,-1.9605741345516403,1.4432122527914253,-1.7337646656419603,1.9718004923726744
76,-2.713075307937354,0.8324449373139675,3.5018818761590578,-0.5760653896128557,2.416723168682917,-0.9913776284927716,-1.986715123012329,1.4624550828286444,-1.75688152785052,1.9980911656043103
77,-2.748773667252319,0.8433981601733618,3.5479592692664137,-0.5836451973709196,2.4485221577445344,-1.0044220709729397,-2.0128561114730177,1.4816979128658634,-1.7799983900590794,2.024381838835946
78,-2.7844720265672844,0.8543513830327562,3.5940366623737696,-0.5912250051289835,2.480321146806152,-1.0174665134531078,-2.038997099933706,1.5009407429030823,-1.803115252267639,2.0506725120675817
79,-2.8201703858822498,0.8653046058921504,3.6401140554811255,-0.5988048128870473,2.512120135867769,-1.0305109559332757,-2.0651380883943946,1.5201835729403013,-1.8262321144761984,2.0769631852992174
80,-2.8558687451972147,0.8762578287515448,3.686191448588482,-0.6063846206451112,2.543919124929386,-1.0435553984134438,-2.0912790768550837,1.5394264029775204,-1.849348976684758,2.103253858530853
81,-2.89156710451218,0.887211051610939,3.732268841695838,-0.6139644284031751,2.5757181139910035,-1.056599840893612,-2.1174200653157715,1.5586692330147394,-1.8724658388933173,2.129544531762489
82,-2.9272654638271454,0.8981642744703334,3.7783462348031938,-0.621544236161239,2.607517103052621,-1.0696442833737798,-2.14356105377646,1.5779120630519583,-1.8955827011018769,2.1558352049941245
83,-2.9629638231421103,0.9091174973297276,3.8244236279105497,-0.6291240439193029,2.6393160921142385,-1.082688725853948,-2.169702042237149,1.5971548930891777,-1.918699563310436,2.18212587822576
